feature,importance
feature_297,795294.3566064211
feature_263,483468.1921935794
feature_1861,158687.97096964205
feature_254,142050.97600131202
feature_260,137868.43413331918
feature_1695,134873.7396683325
feature_295,128287.49259700766
feature_255,124353.33041711617
feature_266,123787.46466074139
feature_248,113714.92114007939
feature_306,112470.3837054586
feature_1859,89939.18070382066
feature_621,89531.27540295757
feature_1863,80312.82496713242
feature_289,79333.19081755541
feature_1262,74369.5353939198
feature_318,72421.5879862681
feature_418,67122.69776541553
feature_355,67029.17305984441
feature_1696,65354.231728171
feature_259,60992.96920820465
feature_309,59901.53026957996
feature_1832,59672.32086856989
feature_378,58575.10929710232
feature_1789,56605.46475783177
feature_298,51970.97064531315
feature_320,51747.37126467703
feature_344,50701.23171108356
feature_1854,50670.852058927994
feature_324,50586.809262649156
feature_1787,50138.54144027876
feature_285,44727.26934718294
feature_258,42819.55106868269
feature_0,41680.51040541893
feature_366,40578.92080851551
feature_446,38551.71268592868
feature_314,37765.22165635973
feature_1739,37608.367908894084
feature_451,37286.314861049876
feature_247,37019.27674877364
feature_241,36279.839407560416
feature_257,33406.85597945936
feature_286,33288.76845461875
feature_542,32120.479806818068
feature_265,31071.362868214957
feature_299,30261.605733698234
feature_316,30156.75369157456
feature_1809,28462.631241187453
feature_363,27416.024470304605
feature_429,26516.265367992688
feature_261,26063.49833647674
feature_256,25951.83470566431
feature_578,25740.168673759326
feature_1831,25597.076292786747
feature_1737,25455.52726703137
feature_1860,24955.360617246013
feature_253,23519.838750557043
feature_1822,23316.062443206552
feature_1830,22883.283884294797
feature_244,22265.164395703003
feature_292,20887.23846856691
feature_880,20381.4032258112
feature_246,20364.304708546028
feature_412,20212.194744176697
feature_334,19778.343107520137
feature_327,19734.609597664326
feature_1467,19585.261981593445
feature_934,19509.30946940556
feature_443,19359.099580020644
feature_274,19078.797333939
feature_120,18982.223227810115
feature_1232,18743.829797036014
feature_1857,18634.376103944145
feature_232,17620.917765064165
feature_432,17481.702818613034
feature_1788,17161.458124448545
feature_312,17104.684823240153
feature_118,17045.0521624526
feature_264,16361.005749222357
feature_1778,16158.068337291013
feature_1856,15945.874515129253
feature_448,15687.878423939925
feature_1077,15604.664287862368
feature_1799,15539.965341467876
feature_1858,15384.97181248106
feature_1714,15382.33550088387
feature_130,15106.289909375831
feature_305,14942.902602478862
feature_1760,14124.406002302654
feature_1774,13852.624688955024
feature_252,13832.239001399837
feature_1781,13413.80710132001
feature_333,13390.586791643873
feature_287,13257.398018773645
feature_449,12952.954498906154
feature_577,12652.61906039808
feature_1728,12377.3706085491
feature_428,12117.339980704244
feature_413,12026.181324029341
feature_1015,11774.02600365039
feature_1693,11745.18971156422
feature_380,11711.130663350224
feature_70,11705.755746680312
feature_394,11604.678649551235
feature_329,11213.473773504607
feature_1853,11199.340531871188
feature_920,11172.157699376345
feature_678,10823.230608676095
feature_117,10435.022696648259
feature_300,10409.617410084233
feature_436,10036.710817552172
feature_1417,9727.602433360182
feature_1807,9485.771307602525
feature_307,9464.23992010951
feature_376,9394.976392568089
feature_576,9334.014649318531
feature_237,9310.762076423038
feature_56,9174.535505680367
feature_113,9141.452835442033
feature_792,9057.580762915313
feature_435,8935.7710284614
feature_951,8840.898000434972
feature_735,8800.343127229251
feature_1692,8771.707662047818
feature_1192,8610.349529389292
feature_486,8596.131067717448
feature_1803,8480.697935845703
feature_310,8458.391304454766
feature_317,8416.636207482312
feature_151,8302.560206479393
feature_651,8227.877491555642
feature_250,8164.929269781336
feature_315,8154.634331749752
feature_1473,8098.945313868113
feature_467,7903.034767884761
feature_434,7779.406975761987
feature_377,7771.306269164197
feature_555,7659.160643905401
feature_321,7659.053323277272
feature_835,7611.862138698343
