epoch,n_trees,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,time_minutes
1,100,0.9858703125,0.9896575072828911,0.982003125,0.9858154582173249,0.9603625,0.9672189379138862,0.953025,0.960069510029844,6.66883215
2,150,0.985934375,0.9897205268230003,0.98206875,0.9858797915692851,0.9606375,0.9673557387444515,0.95345,0.9603525338369531,10.838533083333335
3,200,0.9861046875,0.9896562253091957,0.982478125,0.9860541118650606,0.96084375,0.9673220012422202,0.9539125,0.9605704539590033,14.0855425
4,250,0.9862296875,0.9897821385738435,0.982603125,0.9861795668353514,0.9610125,0.9674990493091646,0.954075,0.9607401346843728,17.12241753333333
5,300,0.9862890625,0.9898111105165581,0.98269375,0.9862395895242113,0.9609625,0.9674009480595199,0.954075,0.9606917645281879,20.755460416666665
6,350,0.9863203125,0.9897963358711355,0.982771875,0.986271598123968,0.96086875,0.9675014264883028,0.953775,0.9605891794920215,24.172604550000003
7,400,0.9864171875,0.9899278265823542,0.982834375,0.9863683478462679,0.961,0.9677116623547912,0.953825,0.9607181527459522,29.702728983333333
8,450,0.986371875,0.989818976043909,0.982853125,0.9863237517012989,0.96096875,0.9675910076457834,0.9538875,0.9606903888158019,31.392214616666667
9,500,0.9863390625,0.9897042488853087,0.982903125,0.9862919625400399,0.96095,0.9674712235687846,0.953975,0.9606757130988646,35.30499235
10,550,0.9863078125,0.9896388870534858,0.98290625,0.9862610787005173,0.96089375,0.9675742166199577,0.95375,0.960612374651416,39.149288883333334
11,600,0.986315625,0.9896544563240597,0.98290625,0.9862688102248603,0.96096875,0.9675910076457834,0.9538875,0.9606903888158019,42.59075156666667
12,650,0.9862609375,0.989681053608799,0.98276875,0.9862127899774995,0.96094375,0.9676012224039766,0.953825,0.9606637248915719,43.10789558333333
13,700,0.986290625,0.9897402327645352,0.98276875,0.9862421716482738,0.961025,0.9676302776721186,0.9539625,0.9607477812047586,47.49308261666667
14,750,0.986278125,0.9897060674723062,0.982778125,0.9862299297541395,0.96100625,0.9675579051458563,0.954,0.9607311224265007,50.5128587

